id,value,isAnomaly
0,-1.6022936,1
0,-1.6708228,1
0,-1.6936659,1
0,-1.6993767,1
0,-1.6993767,1
0,-1.7036597,1
0,-1.7036597,1
0,-1.7036597,1
0,-1.7036597,1
0,-1.7036597,1
0,-0.73425658,1
0,-0.9769643,1
0,0.46214968,1
0,0.94613741,1
0,1.4444021,1
0,1.5272082,1
0,1.6228636,1
0,1.6685498,1
0,1.7042421,1
0,1.718519,1
0,1.718519,1
0,1.7870483,1
0,1.7413621,1
0,1.7270852,1
0,1.718519,1
0,1.718519,1
0,1.718519,1
0,1.7142359,1
0,1.718519,1
0,1.7142359,1
0,1.7228021,1
0,1.7228021,1
0,1.7228021,1
0,1.718519,1
0,1.6000205,1
0,-1.3467366,1
0,-1.5894444,1
0,-1.6394136,1
0,-1.6665397,1
0,-1.6765336,1
0,-1.6850997,1
0,-1.6893828,1
0,-1.6936659,1
0,-1.6936659,1
0,-0.8256289,1
0,-0.56578888,1
0,-0.017554981,1
0,0.20230965,1
0,0.22515273,1
0,0.26084504,1
0,0.27940504,1
0,0.27940504,1
0,0.27083889,1
0,0.26512812,1
0,0.27083889,1
0,0.27083889,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27940504,1
0,0.28368812,1
0,0.28368812,1
0,0.28368812,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27940504,1
0,0.27512197,1
0,0.27512197,1
0,0.27940504,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27940504,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27940504,1
0,0.27940504,1
0,0.28368812,1
0,0.2879712,1
0,0.29368197,1
0,0.27940504,1
0,0.28368812,1
0,0.28368812,1
0,0.28368812,1
0,0.28368812,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27512197,1
0,0.27940504,1
0,0.27940504,1
0,0.27512197,1
0,0.27940504,1
0,0.27512197,1
0,0.27940504,1
0,0.27512197,1
0,0.27512197,1
0,-1.0140843,1
0,-1.1325828,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
0,-1.145432,1
1,1.0845914,1
1,1.0845914,1
1,1.0845914,1
1,1.0653076,1
1,1.0653076,1
1,1.0653076,1
1,1.0653076,1
1,1.0653076,1
1,1.0653076,1
1,1.0845914,1
1,1.0845914,1
1,1.0845914,1
1,1.0845914,1
1,1.0845914,1
1,1.0845914,1
1,1.0653076,1
1,1.0845914,1
1,1.0845914,1
1,-0.59310621,1
1,-0.20742859,1
